,noise_level,algorithm,file_name,above-thld_pixels_std,max_amplitude,center_distance,above-thld_pixels,epsilon,intensity,iter,reg,iters,sample,eta,outer-inner,samples
17,0,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.000_eps_0.05_iter_100000000_intensity_minmax.npy,8.94427190999916,0.7598374897023631,3.552713678800501e-15,32,0.05,minmax,100000000.0,,,,,,
18,0,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.000_eps_0.05_iter_10000000_intensity_minmax.npy,8.94427190999916,0.7598374897023631,3.552713678800501e-15,32,0.05,minmax,10000000.0,,,,,,
19,0,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.000_eps_0.05_iter_1000000_intensity_minmax.npy,8.94427190999916,0.7598374897023631,3.552713678800501e-15,32,0.05,minmax,1000000.0,,,,,,
20,0,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.000_eps_0.05_iter_100000_intensity_minmax.npy,8.94427190999916,0.759837489702366,1.0048591735576161e-14,32,0.05,minmax,100000.0,,,,,,
21,0,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.000_eps_0.05_iter_10000_intensity_minmax.npy,8.94427190999916,0.7598374897023631,3.552713678800501e-15,32,0.05,minmax,10000.0,,,,,,
22,0,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.000_eps_0.05_iter_100_intensity_minmax.npy,8.94427190999916,0.6607713448099012,1.464821375527116e-14,32,0.05,minmax,100.0,,,,,,
28,0,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.000_eps_0.1_iter_500_intensity_minmax.npy,8.94427190999916,0.6948892136314424,3.552713678800501e-15,32,0.1,minmax,500.0,,,,,,
283,0,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.000_reg_2.5.npy,14.594519519326425,0.016372583434466313,7.105427357601002e-15,52,,,,2.5,,,,,
284,0,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.000_reg_4.npy,14.594519519326425,0.015369753391953652,7.944109290391274e-15,52,,,,4.0,,,,,
285,0,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.000_reg_5.npy,14.594519519326425,0.014764370359310351,0.0,52,,,,5.0,,,,,
338,0,KBCM,kbcm_bary/bary_noiselvl_0.000_reg_0.5_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.00027884408920566536,0.09282648787698597,2500,,,,0.5,100.0,4.0,,,
339,0,KBCM,kbcm_bary/bary_noiselvl_0.000_reg_0.9_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.00016077703541472467,0.06202413836278406,2500,,,,0.9,100.0,4.0,,,
340,0,KBCM,kbcm_bary/bary_noiselvl_0.000_reg_1_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,1.9290188474646412e-05,0.0448603648444145,2500,,,,1.0,100.0,4.0,,,
365,0,TLp-BI,tlp_bary/bary_noiselvl_0.000_reg_0.01_eta_0.001_outer-inner_10-100_samples_10_intensity_minmax.npy,24.779023386727733,0.006754350589392593,1.2809491335957507e-14,88,,minmax,,0.01,,,0.001,10-100,10.0
366,0,TLp-BI,tlp_bary/bary_noiselvl_0.000_reg_0.01_eta_0.005_outer-inner_10-100_samples_10_intensity_minmax.npy,24.779023386727733,0.0067544378067346585,4.7796874181478123e-14,88,,minmax,,0.01,,,0.005,10-100,10.0
367,0,TLp-BI,tlp_bary/bary_noiselvl_0.000_reg_0.01_eta_0.01_outer-inner_10-100_samples_10_intensity_minmax.npy,24.779023386727733,0.00675454683279838,1.180976748471683e-13,88,,minmax,,0.01,,,0.01,10-100,10.0
368,0,TLp-BI,tlp_bary/bary_noiselvl_0.000_reg_0.01_eta_0.05_outer-inner_10-100_samples_10_intensity_minmax.npy,24.779023386727733,0.006755419216758084,5.703958983566697e-13,88,,minmax,,0.01,,,0.05,10-100,10.0
369,0,TLp-BI,tlp_bary/bary_noiselvl_0.000_reg_0.01_eta_0.1_outer-inner_10-100_samples_10_intensity_minmax.npy,24.779023386727733,0.006756510135353894,1.1460792221324304e-12,88,,minmax,,0.01,,,0.1,10-100,10.0
370,0,TLp-BI,tlp_bary/bary_noiselvl_0.000_reg_0.01_eta_0.5_outer-inner_10-100_samples_10_intensity_minmax.npy,24.779023386727733,0.0067652550746838845,7.161780851767667e-13,88,,minmax,,0.01,,,0.5,10-100,10.0
371,0,TLp-BI,tlp_bary/bary_noiselvl_0.000_reg_0.01_eta_1_outer-inner_10-100_samples_10_intensity_minmax.npy,24.779023386727733,0.006776230375142624,1.450660483319755e-12,88,,minmax,,0.01,,,1.0,10-100,10.0
75,0.1,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.100_eps_0.01_iter_100_intensity_minmax.npy,6.527533657682197,0.8468912748596,0.0973431880900751,23,0.01,minmax,100.0,,,,,,
289,0.1,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.100_reg_0.05.npy,14.594519519326425,0.003078744622810602,0.0059774245789225924,52,,,,0.05,,,,,
342,0.1,KBCM,kbcm_bary/bary_noiselvl_0.100_reg_0.5_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.0002611087469859009,0.05184502000530391,2500,,,,0.5,100.0,4.0,,,
343,0.1,KBCM,kbcm_bary/bary_noiselvl_0.100_reg_0.9_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.00016179123057151657,0.03634475330832672,2500,,,,0.9,100.0,4.0,,,
344,0.1,KBCM,kbcm_bary/bary_noiselvl_0.100_reg_1_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,4.496827211764552e-05,0.3418495599880207,2500,,,,1.0,100.0,4.0,,,
413,0.1,TLp-BI,tlp_bary/bary_noiselvl_0.100_reg_0.001_eta_1_outer-inner_10-100_samples_10_intensity_minmax.npy,11.084755065936049,0.00843979379284193,0.15276954303770296,39,,minmax,,0.001,,,1.0,10-100,10.0
128,0.2,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.200_eps_0.01_iter_100_intensity_minmax.npy,3.3166247903554,0.9240848837261322,0.011572158179109041,12,0.01,minmax,100.0,,,,,,
302,0.2,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.200_reg_0.05.npy,10.246950765959598,0.001942700206886809,0.0027301616188452156,36,,,,0.05,,,,,
346,0.2,KBCM,kbcm_bary/bary_noiselvl_0.200_reg_0.5_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.00025471701235303657,0.040904204111246574,2500,,,,0.5,100.0,4.0,,,
347,0.2,KBCM,kbcm_bary/bary_noiselvl_0.200_reg_0.9_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.00016317512417354313,0.027199834096156922,2500,,,,0.9,100.0,4.0,,,
348,0.2,KBCM,kbcm_bary/bary_noiselvl_0.200_reg_1_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,8.76379509942965e-05,0.7940058826337826,2500,,,,1.0,100.0,4.0,,,
456,0.2,TLp-BI,tlp_bary/bary_noiselvl_0.200_reg_0.001_eta_0.001_outer-inner_10-100_samples_10_intensity_minmax.npy,9.276885579794873,0.005634567251479497,0.08451217796352034,33,,minmax,,0.001,,,0.001,10-100,10.0
457,0.2,TLp-BI,tlp_bary/bary_noiselvl_0.200_reg_0.001_eta_0.005_outer-inner_10-100_samples_10_intensity_minmax.npy,9.276885579794873,0.00563464366453829,0.08451163519737062,33,,minmax,,0.001,,,0.005,10-100,10.0
458,0.2,TLp-BI,tlp_bary/bary_noiselvl_0.200_reg_0.001_eta_0.01_outer-inner_10-100_samples_10_intensity_minmax.npy,9.276885579794873,0.0056347391792399395,0.08451095673635703,33,,minmax,,0.001,,,0.01,10-100,10.0
459,0.2,TLp-BI,tlp_bary/bary_noiselvl_0.200_reg_0.001_eta_0.05_outer-inner_10-100_samples_10_intensity_minmax.npy,9.276885579794873,0.005635503231838575,0.08450552891603581,33,,minmax,,0.001,,,0.05,10-100,10.0
460,0.2,TLp-BI,tlp_bary/bary_noiselvl_0.200_reg_0.001_eta_0.1_outer-inner_10-100_samples_10_intensity_minmax.npy,9.276885579794873,0.005636458134371313,0.08449874381158981,33,,minmax,,0.001,,,0.1,10-100,10.0
461,0.2,TLp-BI,tlp_bary/bary_noiselvl_0.200_reg_0.001_eta_0.5_outer-inner_10-100_samples_10_intensity_minmax.npy,9.276885579794873,0.005644090685287674,0.08444445012474217,33,,minmax,,0.001,,,0.5,10-100,10.0
462,0.2,TLp-BI,tlp_bary/bary_noiselvl_0.200_reg_0.001_eta_1_outer-inner_10-100_samples_10_intensity_minmax.npy,9.276885579794873,0.0056536140182763496,0.08437655239209609,33,,minmax,,0.001,,,1.0,10-100,10.0
177,0.5,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.500_eps_0.005_iter_100_intensity_minmax.npy,5.079916884709389,0.3282611271012775,0.19798613801634257,18,0.005,minmax,100.0,,,,,,
315,0.5,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.500_reg_0.05.npy,22.08869502168913,0.0009099253739491443,0.11649208328816733,67,,,,0.05,,,,,
350,0.5,KBCM,kbcm_bary/bary_noiselvl_0.500_reg_0.5_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.00025137432396107477,0.047333725664203095,2500,,,,0.5,100.0,4.0,,,
351,0.5,KBCM,kbcm_bary/bary_noiselvl_0.500_reg_0.9_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.00016744996247730826,0.028900962056474418,2500,,,,0.9,100.0,4.0,,,
352,0.5,KBCM,kbcm_bary/bary_noiselvl_0.500_reg_1_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,721.5434844830907,0.00028834286830446937,2.2736219250312626,2500,,,,1.0,100.0,4.0,,,
505,0.5,TLp-BI,tlp_bary/bary_noiselvl_0.500_reg_0.001_eta_0.001_outer-inner_10-100_samples_10_intensity_minmax.npy,13.561454327551338,0.0016281774654108374,0.19008119591147707,46,,minmax,,0.001,,,0.001,10-100,10.0
506,0.5,TLp-BI,tlp_bary/bary_noiselvl_0.500_reg_0.001_eta_0.005_outer-inner_10-100_samples_10_intensity_minmax.npy,13.561454327551338,0.0016281839343124088,0.1900809779577248,46,,minmax,,0.001,,,0.005,10-100,10.0
507,0.5,TLp-BI,tlp_bary/bary_noiselvl_0.500_reg_0.001_eta_0.01_outer-inner_10-100_samples_10_intensity_minmax.npy,13.561454327551338,0.001628192020569436,0.19008070551356254,46,,minmax,,0.001,,,0.01,10-100,10.0
508,0.5,TLp-BI,tlp_bary/bary_noiselvl_0.500_reg_0.001_eta_0.05_outer-inner_10-100_samples_10_intensity_minmax.npy,13.561454327551338,0.0016282567158351887,0.19007852588146182,46,,minmax,,0.001,,,0.05,10-100,10.0
509,0.5,TLp-BI,tlp_bary/bary_noiselvl_0.500_reg_0.001_eta_0.1_outer-inner_10-100_samples_10_intensity_minmax.npy,13.561454327551338,0.0016283375979419213,0.1900758011443182,46,,minmax,,0.001,,,0.1,10-100,10.0
510,0.5,TLp-BI,tlp_bary/bary_noiselvl_0.500_reg_0.001_eta_0.5_outer-inner_10-100_samples_10_intensity_minmax.npy,13.561454327551338,0.001628985176199289,0.1900539953651309,46,,minmax,,0.001,,,0.5,10-100,10.0
511,0.5,TLp-BI,tlp_bary/bary_noiselvl_0.500_reg_0.001_eta_1_outer-inner_10-100_samples_10_intensity_minmax.npy,13.561454327551338,0.0016297959545431696,0.19002671842815902,46,,minmax,,0.001,,,1.0,10-100,10.0
226,1,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_1.000_eps_0.001_iter_10000_intensity_minmax.npy,719.3896049962198,0.13157648422794366,0.02502346768269126,2489,0.001,minmax,10000.0,,,,,,
328,1,Entropic Regularized,entropic_reg_bary/bary_noiselvl_1.000_reg_0.05.npy,721.5434844830907,0.00010183370553827598,0.005559474168582295,2500,,,,0.05,,,,,
329,1,Entropic Regularized,entropic_reg_bary/bary_noiselvl_1.000_reg_0.1.npy,721.5434844830907,0.0002064541909157258,0.005988217642643365,2500,,,,0.1,,,,,
330,1,Entropic Regularized,entropic_reg_bary/bary_noiselvl_1.000_reg_0.25.npy,721.5434844830907,6.718107704253341e-05,0.0058253113421409385,2500,,,,0.25,,,,,
